Transaction ID,Date,Month,Quarter,Customer ID,SKU,Product Name,Category,Brand,Channel,Region,Quantity,Unit Price ($),Discount (%),Discount Amount ($),Revenue ($),COGS ($),Gross Profit ($),Payment Method,Order Status
TXN-100036,2023-01-07,January,Q1,CUST-3351,SKU-1040,Resistance Bands,Sports & Outdoors,SwiftSport,Marketplace,Southwest,4,18.7,0,0.0,74.8,27.44,47.36,Apple Pay,Returned
TXN-100037,2023-05-10,May,Q2,CUST-4854,SKU-1021,Air Fryer,Home & Kitchen,CozyCraft,Social Commerce,Northeast,2,98.51,0,0.0,197.02,110.34,86.68,Credit Card,Returned
TXN-100038,2023-11-19,November,Q4,CUST-3811,SKU-1031,SPF Moisturizer,Beauty & Personal Care,GlowLab,Website,Southeast,1,230.34,10,23.03,207.31,74.68,132.63,Debit Card,Cancelled
TXN-100039,2023-03-02,March,Q1,CUST-3285,SKU-1019,Canvas Tote Bag,Apparel,UrbanThread,Social Commerce,West,1,160.35,0,0.0,160.35,72.47,87.88,Buy Now Pay Later,Cancelled
TXN-100040,2023-08-15,August,Q3,CUST-2217,SKU-1014,Wool Sweater,Apparel,StyleCo,Social Commerce,Midwest,4,143.8,5,28.76,546.44,248.6,297.84,Buy Now Pay Later,Cancelled
TXN-100041,2023-04-17,April,Q2,CUST-3562,SKU-1003,Portable Charger,Electronics,TechPro,Mobile App,Midwest,1,154.03,20,30.81,123.22,76.79,46.43,Credit Card,Completed
TXN-100042,2023-02-08,February,Q1,CUST-1641,SKU-1015,Denim Jacket,Apparel,UrbanThread,Website,Southwest,2,51.98,10,10.4,93.56,66.08,27.48,Apple Pay,Cancelled
TXN-100043,2023-04-29,April,Q2,CUST-2180,SKU-1030,Vitamin C Serum,Beauty & Personal Care,NatureSoft,Marketplace,Canada,3,54.64,0,0.0,163.92,60.96,102.96,Apple Pay,Completed
TXN-100044,2023-11-17,November,Q4,CUST-3415,SKU-1043,Jump Rope,Sports & Outdoors,ActiveGear,Mobile App,Southwest,2,93.88,0,0.0,187.76,106.22,81.54,Credit Card,Cancelled
TXN-100045,2023-03-14,March,Q1,CUST-1292,SKU-1014,Wool Sweater,Apparel,StyleCo,Website,Southeast,2,143.8,0,0.0,287.6,124.3,163.3,PayPal,Cancelled
TXN-100046,2023-03-05,March,Q1,CUST-2919,SKU-1047,Hiking Socks,Sports & Outdoors,TrailBlaze,Marketplace,Canada,3,75.69,5,11.35,215.72,106.89,108.83,Apple Pay,Completed
TXN-100047,2023-02-11,February,Q1,CUST-3449,SKU-1032,Shampoo Bar,Beauty & Personal Care,PureSkin,Website,Southwest,4,177.41,5,35.48,674.16,299.96,374.2,PayPal,Cancelled
TXN-100048,2023-04-28,April,Q2,CUST-4939,SKU-1016,Yoga Pants,Apparel,UrbanThread,Website,UK,1,205.4,0,0.0,205.4,70.9,134.5,PayPal,Cancelled
TXN-100049,2023-09-23,September,Q3,CUST-3668,SKU-1002,Smart Watch,Electronics,SoundWave,Social Commerce,Midwest,2,65.43,5,6.54,124.32,77.38,46.94,Debit Card,Cancelled
TXN-100050,2023-08-29,August,Q3,CUST-2425,SKU-1027,Storage Bins,Home & Kitchen,HomeEase,Social Commerce,Midwest,4,34.48,0,0.0,137.92,76.96,60.96,PayPal,Completed
TXN-100051,2023-12-22,December,Q4,CUST-3029,SKU-1010,Slim Fit Jeans,Apparel,PureWear,Marketplace,Canada,3,35.11,5,5.27,100.06,74.61,25.45,Apple Pay,Cancelled
TXN-100052,2023-06-11,June,Q2,CUST-2033,SKU-1002,Smart Watch,Electronics,SoundWave,Marketplace,Northeast,4,65.43,0,0.0,261.72,154.76,106.96,Apple Pay,Cancelled
TXN-100053,2023-01-28,January,Q1,CUST-1768,SKU-1000,Wireless Earbuds,Electronics,SoundWave,Marketplace,West,4,76.53,5,15.31,290.81,211.84,78.97,Apple Pay,Returned
TXN-100054,2023-05-17,May,Q2,CUST-3249,SKU-1048,Gym Bag,Sports & Outdoors,TrailBlaze,Mobile App,Midwest,1,78.84,0,0.0,78.84,47.68,31.16,Apple Pay,Returned
TXN-100055,2023-11-08,November,Q4,CUST-4273,SKU-1007,Gaming Mouse,Electronics,PixelEdge,Mobile App,Canada,1,124.26,15,18.64,105.62,52.62,53.0,Debit Card,Completed
TXN-100056,2023-07-28,July,Q3,CUST-1381,SKU-1035,Lip Balm Set,Beauty & Personal Care,GlowLab,Mobile App,UK,1,98.58,10,9.86,88.72,52.57,36.15,Credit Card,Returned
TXN-100057,2023-05-30,May,Q2,CUST-3084,SKU-1007,Gaming Mouse,Electronics,PixelEdge,Marketplace,Southwest,2,124.26,5,12.43,236.09,105.24,130.85,Apple Pay,Returned
TXN-100058,2023-03-16,March,Q1,CUST-2571,SKU-1015,Denim Jacket,Apparel,UrbanThread,Mobile App,West,4,51.98,10,20.79,187.13,132.16,54.97,Buy Now Pay Later,Completed
TXN-100059,2023-08-01,August,Q3,CUST-2392,SKU-1004,USB-C Hub,Electronics,PixelEdge,Marketplace,UK,3,18.39,20,11.03,44.14,24.78,19.36,Credit Card,Completed
TXN-100060,2023-10-28,October,Q4,CUST-3375,SKU-1046,Cycling Gloves,Sports & Outdoors,ActiveGear,Social Commerce,UK,3,99.34,20,59.6,238.42,112.05,126.37,Debit Card,Returned
TXN-100061,2023-06-20,June,Q2,CUST-3260,SKU-1034,Face Mask Kit,Beauty & Personal Care,LuxeGlow,Social Commerce,Southwest,4,196.28,0,0.0,785.12,286.92,498.2,PayPal,Completed
TXN-100062,2023-07-16,July,Q3,CUST-1956,SKU-1044,Foam Roller,Sports & Outdoors,SwiftSport,Social Commerce,Northeast,2,144.95,10,28.99,260.91,154.38,106.53,PayPal,Returned
TXN-100063,2023-12-06,December,Q4,CUST-4245,SKU-1045,Dumbbell Set,Sports & Outdoors,ActiveGear,Mobile App,Southwest,4,94.76,5,18.95,360.09,315.28,44.81,Credit Card,Completed
TXN-100064,2023-02-21,February,Q1,CUST-4580,SKU-1032,Shampoo Bar,Beauty & Personal Care,PureSkin,Social Commerce,Northeast,3,177.41,20,106.45,425.78,224.97,200.81,Buy Now Pay Later,Returned
TXN-100065,2023-12-02,December,Q4,CUST-4972,SKU-1000,Wireless Earbuds,Electronics,SoundWave,Mobile App,Northeast,2,76.53,5,7.65,145.41,105.92,39.49,Apple Pay,Completed
TXN-100066,2023-02-11,February,Q1,CUST-4488,SKU-1021,Air Fryer,Home & Kitchen,CozyCraft,Marketplace,UK,4,98.51,15,59.11,334.93,220.68,114.25,Buy Now Pay Later,Returned
TXN-100067,2023-10-05,October,Q4,CUST-1147,SKU-1020,Coffee Maker,Home & Kitchen,HomeEase,Website,Southeast,4,24.9,20,19.92,79.68,86.08,-6.4,PayPal,Completed
TXN-100068,2023-02-20,February,Q1,CUST-4114,SKU-1047,Hiking Socks,Sports & Outdoors,TrailBlaze,Website,Southwest,1,75.69,5,3.78,71.91,35.63,36.28,Debit Card,Completed
TXN-100069,2023-01-29,January,Q1,CUST-2201,SKU-1001,Bluetooth Speaker,Electronics,TechPro,Marketplace,Midwest,1,53.26,0,0.0,53.26,36.64,16.62,Apple Pay,Completed
TXN-100070,2023-12-16,December,Q4,CUST-4246,SKU-1015,Denim Jacket,Apparel,UrbanThread,Mobile App,Southeast,4,51.98,10,20.79,187.13,132.16,54.97,Debit Card,Completed
TXN-100071,2023-12-16,December,Q4,CUST-1986,SKU-1039,Nail Polish Set,Beauty & Personal Care,PureSkin,Social Commerce,West,4,189.99,10,76.0,683.96,254.04,429.92,Debit Card,Completed
TXN-100072,2023-05-11,May,Q2,CUST-3731,SKU-1029,Scented Candle,Home & Kitchen,HomeEase,Website,UK,3,124.77,5,18.72,355.59,208.92,146.67,Apple Pay,Completed
TXN-100073,2023-08-15,August,Q3,CUST-4871,SKU-1043,Jump Rope,Sports & Outdoors,ActiveGear,Marketplace,West,2,93.88,0,0.0,187.76,106.22,81.54,PayPal,Returned
TXN-100074,2023-06-04,June,Q2,CUST-1815,SKU-1044,Foam Roller,Sports & Outdoors,SwiftSport,Social Commerce,UK,3,144.95,5,21.74,413.11,231.57,181.54,Apple Pay,Completed
TXN-100075,2023-07-03,July,Q3,CUST-3354,SKU-1015,Denim Jacket,Apparel,UrbanThread,Marketplace,Canada,4,51.98,10,20.79,187.13,132.16,54.97,PayPal,Completed
TXN-100076,2023-01-05,January,Q1,CUST-3318,SKU-1042,Water Bottle,Sports & Outdoors,TrailBlaze,Website,West,4,197.52,0,0.0,790.08,266.16,523.92,Apple Pay,Completed
TXN-100077,2023-06-30,June,Q2,CUST-1897,SKU-1049,Protein Shaker,Sports & Outdoors,TrailBlaze,Mobile App,West,2,89.62,10,17.92,161.32,76.26,85.06,PayPal,Completed
TXN-100078,2023-11-27,November,Q4,CUST-1161,SKU-1040,Resistance Bands,Sports & Outdoors,SwiftSport,Marketplace,UK,1,18.7,15,2.81,15.89,6.86,9.03,Apple Pay,Completed
TXN-100079,2023-03-09,March,Q1,CUST-1369,SKU-1037,Perfume Roller,Beauty & Personal Care,LuxeGlow,Marketplace,Midwest,3,26.61,15,11.97,67.86,31.92,35.94,Apple Pay,Completed
TXN-100080,2023-10-04,October,Q4,CUST-4589,SKU-1012,Hoodie,Apparel,UrbanThread,Marketplace,West,2,16.95,20,6.78,27.12,19.52,7.6,Buy Now Pay Later,Completed
TXN-100081,2023-09-04,September,Q3,CUST-4962,SKU-1010,Slim Fit Jeans,Apparel,PureWear,Marketplace,Canada,3,35.11,20,21.07,84.26,74.61,9.65,PayPal,Completed
TXN-100082,2023-04-26,April,Q2,CUST-4523,SKU-1029,Scented Candle,Home & Kitchen,HomeEase,Social Commerce,UK,1,124.77,0,0.0,124.77,69.64,55.13,Buy Now Pay Later,Completed
TXN-100083,2023-05-16,May,Q2,CUST-3197,SKU-1005,Webcam,Electronics,TechPro,Website,Southwest,4,26.46,0,0.0,105.84,77.68,28.16,PayPal,Completed
TXN-100084,2023-11-23,November,Q4,CUST-4851,SKU-1037,Perfume Roller,Beauty & Personal Care,LuxeGlow,Marketplace,Northeast,4,26.61,20,21.29,85.15,42.56,42.59,Debit Card,Returned
TXN-100085,2023-04-24,April,Q2,CUST-3652,SKU-1001,Bluetooth Speaker,Electronics,TechPro,Website,Canada,3,53.26,10,15.98,143.8,109.92,33.88,Apple Pay,Completed
TXN-100086,2023-03-13,March,Q1,CUST-1185,SKU-1041,Yoga Mat,Sports & Outdoors,TrailBlaze,Website,Midwest,4,93.41,0,0.0,373.64,256.2,117.44,Apple Pay,Completed
TXN-100087,2023-03-11,March,Q1,CUST-2591,SKU-1006,Mechanical Keyboard,Electronics,NovaTech,Social Commerce,Midwest,2,113.18,10,22.64,203.72,78.02,125.7,Buy Now Pay Later,Returned
TXN-100088,2023-12-02,December,Q4,CUST-1405,SKU-1037,Perfume Roller,Beauty & Personal Care,LuxeGlow,Social Commerce,West,2,26.61,5,2.66,50.56,21.28,29.28,Apple Pay,Completed
TXN-100089,2023-08-16,August,Q3,CUST-2821,SKU-1002,Smart Watch,Electronics,SoundWave,Mobile App,UK,3,65.43,0,0.0,196.29,116.07,80.22,PayPal,Completed
TXN-100090,2023-11-27,November,Q4,CUST-2469,SKU-1043,Jump Rope,Sports & Outdoors,ActiveGear,Website,Southwest,3,93.88,10,28.16,253.48,159.33,94.15,PayPal,Completed
TXN-100091,2023-12-06,December,Q4,CUST-1868,SKU-1007,Gaming Mouse,Electronics,PixelEdge,Website,Northeast,4,124.26,0,0.0,497.04,210.48,286.56,PayPal,Completed
TXN-100092,2023-10-11,October,Q4,CUST-1848,SKU-1008,LED Desk Lamp,Electronics,TechPro,Mobile App,UK,2,81.6,0,0.0,163.2,58.64,104.56,Debit Card,Completed
TXN-100093,2023-11-02,November,Q4,CUST-1011,SKU-1049,Protein Shaker,Sports & Outdoors,TrailBlaze,Marketplace,UK,2,89.62,20,35.85,143.39,76.26,67.13,Debit Card,Completed
TXN-100094,2023-03-31,March,Q1,CUST-1450,SKU-1034,Face Mask Kit,Beauty & Personal Care,LuxeGlow,Website,Southeast,3,196.28,20,117.77,471.07,215.19,255.88,Credit Card,Completed
TXN-100095,2023-03-31,March,Q1,CUST-2086,SKU-1015,Denim Jacket,Apparel,UrbanThread,Website,Southeast,3,51.98,0,0.0,155.94,99.12,56.82,Apple Pay,Cancelled
TXN-100096,2023-08-18,August,Q3,CUST-4186,SKU-1007,Gaming Mouse,Electronics,PixelEdge,Marketplace,West,1,124.26,5,6.21,118.05,52.62,65.43,Buy Now Pay Later,Completed
TXN-100097,2023-01-23,January,Q1,CUST-3978,SKU-1028,Throw Pillow,Home & Kitchen,HomeEase,Marketplace,Southwest,2,174.23,10,34.85,313.61,147.9,165.71,Credit Card,Completed
TXN-100098,2023-12-18,December,Q4,CUST-1442,SKU-1030,Vitamin C Serum,Beauty & Personal Care,NatureSoft,Social Commerce,Canada,4,54.64,5,10.93,207.63,81.28,126.35,Apple Pay,Completed
TXN-100099,2023-03-17,March,Q1,CUST-1269,SKU-1005,Webcam,Electronics,TechPro,Mobile App,Midwest,3,26.46,10,7.94,71.44,58.26,13.18,Buy Now Pay Later,Cancelled
TXN-100100,2023-11-02,November,Q4,CUST-3173,SKU-1035,Lip Balm Set,Beauty & Personal Care,GlowLab,Marketplace,Southwest,3,98.58,5,14.79,280.95,157.71,123.24,Buy Now Pay Later,Cancelled
TXN-100101,2023-12-26,December,Q4,CUST-1468,SKU-1027,Storage Bins,Home & Kitchen,HomeEase,Mobile App,Southwest,1,34.48,20,6.9,27.58,19.24,8.34,Apple Pay,Completed
TXN-100102,2023-08-21,August,Q3,CUST-2633,SKU-1026,Dish Rack,Home & Kitchen,CozyCraft,Social Commerce,Canada,3,106.06,20,63.64,254.54,100.26,154.28,Credit Card,Completed
TXN-100103,2023-05-11,May,Q2,CUST-2533,SKU-1027,Storage Bins,Home & Kitchen,HomeEase,Mobile App,Canada,3,34.48,15,15.52,87.92,57.72,30.2,Apple Pay,Completed
TXN-100104,2023-08-10,August,Q3,CUST-1395,SKU-1005,Webcam,Electronics,TechPro,Marketplace,UK,1,26.46,0,0.0,26.46,19.42,7.04,Debit Card,Cancelled
TXN-100105,2023-03-04,March,Q1,CUST-2682,SKU-1003,Portable Charger,Electronics,TechPro,Marketplace,UK,3,154.03,15,69.31,392.78,230.37,162.41,Apple Pay,Completed
TXN-100106,2023-02-23,February,Q1,CUST-3367,SKU-1018,Sneakers,Apparel,FitForm,Mobile App,Southeast,3,103.56,0,0.0,310.68,133.74,176.94,Apple Pay,Completed
TXN-100107,2023-10-12,October,Q4,CUST-2505,SKU-1006,Mechanical Keyboard,Electronics,NovaTech,Website,UK,3,113.18,20,67.91,271.63,117.03,154.6,PayPal,Cancelled
TXN-100108,2023-10-15,October,Q4,CUST-4991,SKU-1014,Wool Sweater,Apparel,StyleCo,Website,West,4,143.8,20,115.04,460.16,248.6,211.56,PayPal,Completed
TXN-100109,2023-06-08,June,Q2,CUST-4774,SKU-1011,Graphic Tee,Apparel,UrbanThread,Marketplace,Midwest,3,67.56,15,30.4,172.28,129.63,42.65,Credit Card,Completed
TXN-100110,2023-03-14,March,Q1,CUST-4035,SKU-1009,Phone Stand,Electronics,PixelEdge,Website,Northeast,4,133.99,0,0.0,535.96,293.96,242.0,Buy Now Pay Later,Completed
TXN-100111,2023-06-24,June,Q2,CUST-1644,SKU-1024,Cutting Board,Home & Kitchen,HomeEase,Marketplace,Midwest,4,118.07,5,23.61,448.67,158.8,289.87,PayPal,Cancelled
TXN-100112,2023-03-21,March,Q1,CUST-1644,SKU-1038,Hair Ties Pack,Beauty & Personal Care,LuxeGlow,Website,Canada,1,77.67,0,0.0,77.67,28.12,49.55,Credit Card,Completed
TXN-100113,2023-11-07,November,Q4,CUST-2810,SKU-1028,Throw Pillow,Home & Kitchen,HomeEase,Social Commerce,Midwest,4,174.23,5,34.85,662.07,295.8,366.27,Debit Card,Cancelled
TXN-100114,2023-02-26,February,Q1,CUST-2160,SKU-1007,Gaming Mouse,Electronics,PixelEdge,Social Commerce,West,3,124.26,5,18.64,354.14,157.86,196.28,PayPal,Completed
TXN-100115,2023-01-29,January,Q1,CUST-1031,SKU-1014,Wool Sweater,Apparel,StyleCo,Mobile App,Midwest,4,143.8,10,57.52,517.68,248.6,269.08,Debit Card,Completed
TXN-100116,2023-06-17,June,Q2,CUST-1491,SKU-1048,Gym Bag,Sports & Outdoors,TrailBlaze,Website,Southwest,3,78.84,0,0.0,236.52,143.04,93.48,Apple Pay,Completed
TXN-100117,2023-12-27,December,Q4,CUST-1942,SKU-1008,LED Desk Lamp,Electronics,TechPro,Marketplace,Northeast,4,81.6,10,32.64,293.76,117.28,176.48,Apple Pay,Completed
TXN-100118,2023-02-09,February,Q1,CUST-4531,SKU-1027,Storage Bins,Home & Kitchen,HomeEase,Marketplace,West,1,34.48,5,1.72,32.76,19.24,13.52,Apple Pay,Cancelled
TXN-100119,2023-02-28,February,Q1,CUST-2659,SKU-1025,Knife Set,Home & Kitchen,CozyCraft,Website,Midwest,4,218.05,0,0.0,872.2,297.92,574.28,Debit Card,Cancelled
TXN-100120,2023-08-12,August,Q3,CUST-4459,SKU-1029,Scented Candle,Home & Kitchen,HomeEase,Website,Southeast,3,124.77,0,0.0,374.31,208.92,165.39,Apple Pay,Cancelled
TXN-100121,2023-06-08,June,Q2,CUST-4054,SKU-1025,Knife Set,Home & Kitchen,CozyCraft,Marketplace,Southeast,1,218.05,5,10.9,207.15,74.48,132.67,PayPal,Completed
TXN-100122,2023-09-19,September,Q3,CUST-1794,SKU-1004,USB-C Hub,Electronics,PixelEdge,Marketplace,Midwest,1,18.39,10,1.84,16.55,8.26,8.29,Debit Card,Completed
TXN-100123,2023-04-12,April,Q2,CUST-1710,SKU-1006,Mechanical Keyboard,Electronics,NovaTech,Mobile App,UK,2,113.18,0,0.0,226.36,78.02,148.34,Credit Card,Completed
TXN-100124,2023-10-16,October,Q4,CUST-4112,SKU-1049,Protein Shaker,Sports & Outdoors,TrailBlaze,Social Commerce,Canada,4,89.62,5,17.92,340.56,152.52,188.04,Buy Now Pay Later,Cancelled
TXN-100125,2023-08-14,August,Q3,CUST-1279,SKU-1020,Coffee Maker,Home & Kitchen,HomeEase,Social Commerce,Southwest,3,24.9,0,0.0,74.7,64.56,10.14,PayPal,Completed
TXN-100126,2023-09-17,September,Q3,CUST-1303,SKU-1037,Perfume Roller,Beauty & Personal Care,LuxeGlow,Marketplace,Southwest,1,26.61,0,0.0,26.61,10.64,15.97,Apple Pay,Completed
TXN-100127,2023-05-27,May,Q2,CUST-1314,SKU-1003,Portable Charger,Electronics,TechPro,Website,West,3,154.03,20,92.42,369.67,230.37,139.3,Buy Now Pay Later,Cancelled
TXN-100128,2023-10-11,October,Q4,CUST-4908,SKU-1024,Cutting Board,Home & Kitchen,HomeEase,Website,Southwest,4,118.07,10,47.23,425.05,158.8,266.25,Buy Now Pay Later,Completed
TXN-100129,2023-03-19,March,Q1,CUST-4922,SKU-1020,Coffee Maker,Home & Kitchen,HomeEase,Website,Southwest,4,24.9,10,9.96,89.64,86.08,3.56,Credit Card,Completed
TXN-100130,2023-11-27,November,Q4,CUST-1706,SKU-1045,Dumbbell Set,Sports & Outdoors,ActiveGear,Website,Southeast,1,94.76,10,9.48,85.28,78.82,6.46,Apple Pay,Returned
TXN-100131,2023-07-10,July,Q3,CUST-4759,SKU-1033,Electric Toothbrush,Beauty & Personal Care,LuxeGlow,Marketplace,Southwest,2,194.87,0,0.0,389.74,157.58,232.16,Apple Pay,Completed
TXN-100132,2023-11-20,November,Q4,CUST-3651,SKU-1043,Jump Rope,Sports & Outdoors,ActiveGear,Marketplace,Northeast,1,93.88,20,18.78,75.1,53.11,21.99,PayPal,Completed
TXN-100133,2023-05-10,May,Q2,CUST-3964,SKU-1035,Lip Balm Set,Beauty & Personal Care,GlowLab,Mobile App,Midwest,4,98.58,0,0.0,394.32,210.28,184.04,Credit Card,Cancelled
TXN-100134,2023-06-08,June,Q2,CUST-4963,SKU-1042,Water Bottle,Sports & Outdoors,TrailBlaze,Social Commerce,Southeast,2,197.52,0,0.0,395.04,133.08,261.96,Buy Now Pay Later,Completed
TXN-100135,2023-06-18,June,Q2,CUST-4330,SKU-1019,Canvas Tote Bag,Apparel,UrbanThread,Mobile App,Canada,4,160.35,15,96.21,545.19,289.88,255.31,Buy Now Pay Later,Completed
